date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1985-05-31,train,0.015802,0.014640,0.014945,0.872557,0.702184
1985-06-28,train,0.010770,0.012009,0.012780,0.690091,0.502051
1985-07-31,train,0.013622,0.011922,0.015056,0.116917,-0.066341
1985-08-30,train,0.014161,0.012070,0.014952,0.846319,0.818224
1985-09-30,train,0.012191,0.010091,0.013804,0.848408,0.968205
1985-10-31,train,0.015387,0.015643,0.016450,0.564893,0.637428
1985-11-29,train,0.016225,0.016706,0.016241,0.981605,0.849430
1985-12-31,train,0.015880,0.015077,0.016394,1.135696,0.995756
1986-01-31,train,0.014926,0.014934,0.015497,0.797213,0.762466
1986-02-28,train,0.016352,0.015721,0.015537,1.029706,0.794443
1986-03-31,train,0.016108,0.016613,0.016116,0.656696,0.429179
1986-04-30,train,0.013293,0.013559,0.014899,1.057635,0.994239
1986-05-30,train,0.015830,0.015630,0.015998,0.703384,0.655080
1986-06-30,train,0.014594,0.013467,0.016003,1.108926,1.014025
1986-07-31,train,0.012009,0.008776,0.013582,1.110832,1.061029
1986-08-29,train,0.016116,0.015457,0.016052,1.351245,1.218951
1986-09-30,train,0.011438,0.009880,0.013377,0.364358,0.182313
1986-10-31,train,0.015915,0.014748,0.015723,1.443781,1.579603
1986-11-28,train,0.014069,0.012880,0.014484,0.269159,0.279513
1986-12-31,train,0.013157,0.010767,0.014065,0.453559,0.510099
1987-01-30,valid,0.010625,0.012028,0.013435,0.522237,0.681329
1987-02-27,valid,0.005473,0.007645,0.007175,0.530296,0.286231
1987-03-31,valid,0.012830,0.013367,0.010298,0.610591,0.413693
1987-04-30,valid,0.000275,0.001313,0.006676,0.277802,0.030325
1987-05-29,valid,0.003357,0.001571,0.001704,-0.403236,0.009422
1987-06-30,valid,0.010092,0.009175,0.007634,0.462617,0.587296
1987-07-31,valid,-0.000148,0.003244,0.003129,-0.125581,0.056796
1987-08-31,valid,0.018252,0.012461,0.015842,0.465895,0.603747
1987-09-30,valid,0.012363,0.009080,0.013546,1.094650,0.829909
1987-10-30,valid,0.010272,0.027113,0.015654,1.031032,0.760443
1987-11-30,valid,0.024685,0.026142,0.030758,0.802686,0.822401
1987-12-31,valid,0.028522,0.022086,0.029759,1.133922,1.318858
1988-01-29,valid,0.021303,0.022063,0.027184,1.511601,1.435354
1988-02-29,valid,0.020218,0.012575,0.019078,0.953154,1.004101
1988-03-31,valid,0.014523,0.014804,0.017573,1.574612,0.599112
1988-04-29,valid,0.007149,0.005248,0.009143,0.964089,0.902617
1988-05-31,valid,0.005939,0.002412,0.002540,0.994757,0.738336
1988-06-30,valid,0.005633,0.005420,0.002738,0.695645,0.361859
1988-07-29,valid,0.006371,0.008535,0.008012,0.971576,0.484559
1988-08-31,valid,-0.002360,-0.003195,0.000017,-0.143892,0.271236
1988-09-30,valid,0.010559,0.009008,0.009681,0.022680,0.444540
1988-10-31,valid,0.008800,0.005402,0.009892,0.337504,0.594803
1988-11-30,valid,0.011395,0.006254,0.010978,0.946084,0.881055
1988-12-30,valid,0.011159,0.005042,0.006526,0.629214,0.595774
1989-01-31,valid,0.005787,0.006555,0.007553,-0.259175,0.191513
1989-02-28,valid,0.014497,0.009997,0.013338,0.763280,0.764372
1989-03-31,valid,0.010143,0.006853,0.010701,0.229982,0.414869
1989-04-28,valid,0.006184,0.007371,0.005023,0.907751,0.780824
1989-05-31,valid,0.000458,-0.000008,-0.001244,0.273455,0.019155
1989-06-30,valid,0.006771,0.004518,0.008804,0.601866,0.657882
1989-07-31,valid,0.020825,0.009742,0.019237,0.366131,0.834004
1989-08-31,valid,0.006176,0.006461,0.004597,-0.664636,-0.019761
1989-09-29,valid,0.005593,0.008735,0.009008,0.040771,0.358426
1989-10-31,valid,0.005050,0.000017,0.005224,0.509973,0.741893
1989-11-30,valid,0.002046,0.001615,0.002593,-0.325793,-0.259194
1989-12-29,valid,0.006114,0.002874,0.007971,0.279997,0.417202
1990-01-31,valid,0.006308,0.017747,0.012532,1.383808,1.201795
1990-02-28,valid,0.008088,0.009268,0.009244,0.529097,0.534761
1990-03-30,valid,0.014578,0.017258,0.013808,0.973129,1.131665
1990-04-30,valid,0.006599,0.003828,0.009649,0.082259,0.457012
1990-05-31,valid,0.017434,0.014871,0.017768,0.021225,0.435788
1990-06-29,valid,0.004891,-0.001106,0.006341,0.569060,0.615632
1990-07-31,valid,0.016293,0.015691,0.014911,1.313713,1.349502
1990-08-31,valid,0.008838,-0.003435,-0.002171,-0.346148,0.412453
1990-09-28,valid,0.010392,0.009724,0.005412,0.363423,0.301186
1990-10-31,valid,0.013467,0.013246,0.015312,0.333072,0.985285
